order_month,medication,quantity,purchase_date,expiration_date,quantity_used,avg_daily_consumption
January,Paracetamol 500mg tablets,1151,2025-01-06,2026-12-27,1004,32.39
January,Amoxicillin 500mg capsules,634,2025-01-06,2026-06-30,555,17.9
January,Ceftriaxone 1g injection,138,2025-01-06,2026-01-01,125,4.03
January,Ibuprofen 400mg tablets,466,2025-01-06,2026-12-27,428,13.81
January,Metformin 850mg tablets,388,2025-01-06,2027-12-22,369,11.9
January,Salbutamol inhaler,76,2025-01-06,2026-06-30,68,2.19
January,Insulin glargine,66,2025-01-06,2026-01-01,54,1.74
January,Omeprazole 20mg capsules,301,2025-01-06,2026-12-27,246,7.94
January,Enoxaparin injection,98,2025-01-06,2026-04-01,84,2.71
January,Diazepam injection,20,2025-01-06,2026-01-01,17,0.55
January,Furosemide 40mg tablets,198,2025-01-06,2027-12-22,155,5.0
January,Atorvastatin 20mg tablets,332,2025-01-06,2027-12-22,302,9.74
January,Hydrocortisone injection,72,2025-01-06,2026-06-30,61,1.97
January,Adrenaline ampoules,47,2025-01-06,2026-01-01,42,1.35
January,Meropenem 1g injection,22,2025-01-06,2026-06-30,21,0.68
January,Vancomycin injection,36,2025-01-06,2026-06-30,30,0.97
January,Heparin sodium,83,2025-01-06,2026-04-01,66,2.13
January,Ringer’s lactate solution,212,2025-01-06,2027-12-22,188,6.06
January,Normal saline solution,353,2025-01-06,2027-12-22,274,8.84
January,Vitamin C injection,128,2025-01-06,2026-12-27,102,3.29
February,Paracetamol 500mg tablets,1163,2025-02-06,2027-01-27,1009,36.04
February,Amoxicillin 500mg capsules,607,2025-02-06,2026-07-31,514,18.36
February,Ceftriaxone 1g injection,145,2025-02-06,2026-02-01,124,4.43
February,Ibuprofen 400mg tablets,539,2025-02-06,2027-01-27,431,15.39
February,Metformin 850mg tablets,422,2025-02-06,2028-01-22,329,11.75
February,Salbutamol inhaler,74,2025-02-06,2026-07-31,67,2.39
February,Insulin glargine,63,2025-02-06,2026-02-01,55,1.96
February,Omeprazole 20mg capsules,301,2025-02-06,2027-01-27,262,9.36
February,Enoxaparin injection,106,2025-02-06,2026-05-02,95,3.39
February,Diazepam injection,18,2025-02-06,2026-02-01,17,0.61
February,Furosemide 40mg tablets,212,2025-02-06,2028-01-22,166,5.93
February,Atorvastatin 20mg tablets,385,2025-02-06,2028-01-22,299,10.68
February,Hydrocortisone injection,50,2025-02-06,2026-07-31,45,1.61
February,Adrenaline ampoules,51,2025-02-06,2026-02-01,41,1.46
February,Meropenem 1g injection,25,2025-02-06,2026-07-31,22,0.79
February,Vancomycin injection,33,2025-02-06,2026-07-31,29,1.04
February,Heparin sodium,84,2025-02-06,2026-05-02,69,2.46
February,Ringer’s lactate solution,238,2025-02-06,2028-01-22,175,6.25
February,Normal saline solution,243,2025-02-06,2028-01-22,211,7.54
February,Vitamin C injection,123,2025-02-06,2027-01-27,105,3.75
March,Paracetamol 500mg tablets,1369,2025-03-07,2027-02-25,1176,37.94
March,Amoxicillin 500mg capsules,491,2025-03-07,2026-08-29,383,12.35
March,Ceftriaxone 1g injection,140,2025-03-07,2026-03-02,119,3.84
March,Ibuprofen 400mg tablets,501,2025-03-07,2027-02-25,431,13.9
March,Metformin 850mg tablets,426,2025-03-07,2028-02-20,335,10.81
March,Salbutamol inhaler,82,2025-03-07,2026-08-29,68,2.19
March,Insulin glargine,70,2025-03-07,2026-03-02,59,1.9
March,Omeprazole 20mg capsules,320,2025-03-07,2027-02-25,264,8.52
March,Enoxaparin injection,103,2025-03-07,2026-05-31,81,2.61
March,Diazepam injection,20,2025-03-07,2026-03-02,18,0.58
March,Furosemide 40mg tablets,203,2025-03-07,2028-02-20,172,5.55
